time,accel,temperature,pressure
0,9.799427032470703,40.625,101985.25
50,9.833921432495117,40.6875,102009.5
100,9.812119483947754,40.6875,102028.5
150,9.831052780151367,40.8125,102037.5
200,9.818586349487305,40.6875,102018.5
250,9.797808647155762,40.6875,101988.25
300,9.813400268554688,40.625,102008.0
350,9.807291030883789,40.6875,102067.0
400,9.839021682739258,40.6875,102054.5
450,9.805213928222656,40.8125,102015.5
500,9.877161026000977,40.6875,102047.0
550,9.797916412353516,40.625,102014.75
600,9.862957954406738,40.625,101992.75
650,9.781919479370117,40.875,102044.0
700,9.821775436401367,40.8125,102038.75
750,9.816712379455566,40.6875,102029.0
800,9.800901412963867,40.5625,102028.75
850,9.79172134399414,40.625,102029.5
900,9.823596000671387,40.6875,102011.5
950,9.852635383605957,40.875,102064.75
1000,9.829466819763184,40.75,102021.5
1050,9.798954963684082,40.625,102048.75
1100,9.804031372070312,40.75,101977.25
1150,9.781750679016113,40.6875,102040.75
1200,9.854059219360352,40.6875,102040.0
1250,9.822354316711426,40.75,101975.0
1300,9.80905818939209,40.75,102036.0
1350,9.84792423248291,40.875,101986.25
1400,9.81054973602295,40.6875,102005.75
1450,9.813185691833496,40.625,102013.75
1500,9.800124168395996,40.8125,102019.0
1550,9.796072006225586,40.875,102041.5
1600,9.813148498535156,40.6875,102029.75
1650,9.809572219848633,40.75,102001.0
1700,9.812152862548828,40.8125,102056.75
1750,9.820621490478516,40.6875,102033.75
1800,9.80003547668457,40.6875,102008.5
1850,9.825140953063965,40.6875,102025.25
1900,9.791309356689453,40.875,101994.75
1950,9.817353248596191,40.5625,102038.25
2000,9.824371337890625,40.75,102048.0
2050,9.81121826171875,40.75,102010.75
2100,9.837302207946777,40.875,101986.25
2150,9.805200576782227,40.625,102042.25
2200,9.826037406921387,40.75,102020.75
2250,9.816689491271973,40.8125,102026.25
2300,9.795655250549316,40.6875,101994.5
2350,9.818717002868652,40.75,102017.75
2400,9.804742813110352,40.6875,101999.25
2450,9.801612854003906,40.75,102011.5
2500,9.841202735900879,40.6875,102026.0
2550,9.817904472351074,40.75,102043.0
2600,9.815577507019043,40.6875,102043.75
2650,9.823404312133789,40.6875,102015.25
2700,9.79855728149414,40.625,102002.5
2750,9.823983192443848,40.75,102011.5
2800,9.808043479919434,40.8125,102057.5
2850,9.828179359436035,40.75,102028.25
2900,9.84013557434082,40.8125,102009.75
2950,9.81009578704834,40.875,102032.75
3000,9.807276725769043,40.6875,102040.0
