time,accel,temperature,pressure
0,9.84878158569336,38.375,102023.75
50,9.87261962890625,38.5625,101985.5
100,9.82534122467041,38.375,102017.25
150,9.826886177062988,38.375,102010.75
200,9.808220863342285,38.375,102012.75
250,9.815240859985352,38.375,102038.25
300,9.815217018127441,38.5,102048.75
350,9.824533462524414,38.4375,102023.25
400,9.847701072692871,38.3125,102034.75
450,9.830493927001953,38.3125,102019.5
500,9.84261417388916,38.3125,102015.75
550,9.844011306762695,38.4375,102012.5
600,9.822895050048828,38.375,102017.5
650,9.825345993041992,38.4375,102011.25
700,9.824795722961426,38.4375,102021.75
750,9.81567096710205,38.5,102027.75
800,9.803436279296875,38.375,102018.75
850,9.824403762817383,38.5,102034.5
900,9.824529647827148,38.375,102008.5
950,9.824566841125488,38.5625,102013.0
1000,9.832222938537598,38.3125,102007.75
1050,9.835790634155273,38.5625,101999.0
1100,9.848221778869629,38.5,102026.75
1150,9.83610725402832,38.3125,102020.25
1200,9.833118438720703,38.4375,102013.25
1250,9.824599266052246,38.5,102016.75
1300,9.823012351989746,38.625,102001.75
1350,9.821290016174316,38.4375,101982.25
1400,9.810413360595703,38.4375,102017.5
1450,9.824445724487305,38.4375,101999.25
1500,9.818865776062012,38.5,102036.0
1550,9.833836555480957,38.5,102006.25
1600,9.832978248596191,38.4375,102010.75
1650,9.840544700622559,38.5,102014.0
1700,9.8321533203125,38.4375,102026.0
1750,9.824542999267578,38.5,102039.5
1800,9.830796241760254,38.4375,101985.5
1850,9.821481704711914,38.375,102005.25
1900,9.815577507019043,38.375,102010.75
1950,9.824469566345215,38.5625,101997.0
2000,9.827973365783691,38.5,102007.25
2050,9.827381134033203,38.375,102021.25
2100,9.838069915771484,38.5,102025.25
2150,9.83777141571045,38.4375,102029.25
2200,9.828253746032715,38.375,102014.75
2250,9.825196266174316,38.625,102007.5
2300,9.824986457824707,38.5625,101994.5
2350,9.827473640441895,38.5625,102006.0
2400,9.836648941040039,38.4375,102010.25
2450,9.834210395812988,38.5,102048.5
2500,9.828742980957031,38.5,102029.25
2550,9.835161209106445,38.5625,102011.0
2600,9.82018756866455,38.5,102014.0
2650,9.825196266174316,38.5,101977.0
2700,9.837264060974121,38.4375,102033.25
2750,9.827474594116211,38.5,101985.5
2800,9.815258979797363,38.4375,102011.75
2850,9.824492454528809,38.4375,102011.25
2900,9.815534591674805,38.375,102025.0
2950,9.827340126037598,38.4375,102023.0
3000,9.836923599243164,38.4375,102022.5
3050,9.81295108795166,38.4375,102042.5
3100,9.835062980651855,38.4375,102031.25
3150,9.81951904296875,38.5,102010.75
3200,9.818366050720215,38.5625,102011.0
3250,9.821346282958984,38.5,102001.25
3300,9.83359432220459,38.4375,101992.5
3350,9.8321533203125,38.5625,102015.75
3400,9.825677871704102,38.5,101988.75
3450,9.822969436645508,38.4375,102017.75
3500,9.822620391845703,38.5,102008.75
3550,9.82293701171875,38.5,102003.75
3600,9.825634956359863,38.5,102015.25
3650,9.836882591247559,38.4375,102001.25
3700,9.823139190673828,38.5,102046.5
3750,9.838699340820312,38.4375,102059.75
3800,9.817296028137207,38.5,102025.0
3850,9.828780174255371,38.5,102003.0
3900,9.8299560546875,38.5,102019.25
3950,9.828742980957031,38.5625,102015.5
4000,9.820271492004395,38.625,102008.25
4050,9.8411226272583,38.5,102046.0
4100,9.847196578979492,38.4375,102046.5
4150,9.834173202514648,38.5,102010.5
4200,9.843265533447266,38.5,101989.5
4250,9.844523429870605,38.5625,101998.0
4300,9.819706916809082,38.5,102021.75
4350,9.821700096130371,38.4375,102022.75
4400,9.8281831741333,38.5,102031.25
4450,9.815740585327148,38.625,101995.75
4500,9.823847770690918,38.4375,102012.25
4550,9.830622673034668,38.5625,102024.0
4600,9.83415412902832,38.4375,102023.0
4650,9.84439754486084,38.5,102022.5
4700,9.839006423950195,38.5,102019.0
4750,9.837417602539062,38.5625,102008.5
4800,9.822208404541016,38.5625,102028.0
4850,9.807496070861816,38.5,102028.75
4900,9.820047378540039,38.4375,102031.0
4950,9.811553955078125,38.5,102044.5
5000,9.836462020874023,38.5,102017.25
5050,9.850293159484863,38.625,101995.0
5100,9.82929801940918,38.4375,102038.5
5150,9.831552505493164,38.625,102015.5
5200,9.828347206115723,38.5625,102035.25
5250,9.833818435668945,38.375,102022.75
5300,9.806060791015625,38.5625,102043.5
5350,9.83200454711914,38.375,102030.25
5400,9.820840835571289,38.625,102005.25
5450,9.83482551574707,38.5,102032.5
5500,9.841816902160645,38.6875,102005.0
5550,9.846848487854004,38.5625,102013.25
5600,9.86123275756836,38.6875,102006.0
5650,9.857293128967285,38.5,102013.75
5700,9.829970359802246,38.4375,102038.5
5750,9.799211502075195,38.5,102044.25
5800,9.822625160217285,38.5625,102008.75
5850,9.831710815429688,38.5,102029.75
5900,9.837916374206543,38.5625,102024.25
5950,9.844705581665039,38.375,102008.25
6000,9.838936805725098,38.625,102009.0
6050,9.846290588378906,38.625,102000.5
